"OSrXXb","rllt__details 2","rllt__details 3","rllt__details 4","uDyWh","yYlJEf href","QuU3Wb","yYlJEf href 2"
"Farmalife","C. 34 2234 · 0379 505-3713","· Cierra a las 10 p.m.","Abierto","""Mi  consigo todo alli""","https://www.farmalife.com.ar/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","Sitio web","https://www.google.com/maps/dir//Farmalife,+C.+34+2234,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x95b5a908dfa1a2fd:0xab5c42d6d242edea?sa=X&ved=1t:57443&ictx=111"
"Farmacia Araya","Calle 47 (I. Malvinas N°1405 · 03482 52-9113","· Cierra a las 12 a.m.","Abierto","""Buena atención precios accesibles buena calidad de los productos""","","","https://www.google.com/maps/dir//Farmacia+Araya,+Calle+47+(I.+Malvinas+N%C2%B01405,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eb126c482503d:0xbcd65f29351ec7b5?sa=X&ved=1t:57443&ictx=111"
"Farmacia Cucit","C. 47 1784 · 03482 42-1416","","Abierto ahora","""Excelentes precios y atención personalizada muy buena.""","","","https://www.google.com/maps/dir//Farmacia+Cucit,+C.+47+1784,+S3560DWJ+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eb071f5656867:0xe6970d4de0ec3ae6?sa=X&ved=1t:57443&ictx=111"
"Farmacia Bunchich Obras Sociales-perfumeria","Prof. Roveda 1936 · 03482 60-7232","","Abierto ahora","""Excelente atención!""","","","https://www.google.com/maps/dir//Farmacia+Bunchich+Obras+Sociales-perfumeria,+Prof.+Roveda+1936,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eb0721fa50b0f:0x62786956c79f1d10?sa=X&ved=1t:57443&ictx=111"
"Farmalife","Patricio Diez 1094 · 0379 423-2015","","Abierto las 24 horas","""La  que te salva en horarios, se que otras tienen turnos claro.""","https://www.farmalife.com.ar/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","Sitio web","https://www.google.com/maps/dir//Farmalife,+Patricio+Diez+1094,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eba9b90935537:0x3a069b3d9062d950?sa=X&ved=1t:57443&ictx=111"
"Farmacias Gassmann","Calle 47, Islas Malvinas N°976 · 03482 43-4087","· Cierra a las 10 p.m.","Abierto","""Excelente .""","https://www.farmaciagassmann.com.ar/","Sitio web","https://www.google.com/maps/dir//Farmacias+Gassmann,+Calle+47,+Islas+Malvinas+N%C2%B0976,+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944ebaa5fcd7399f:0x645bbacb58099930?sa=X&ved=1t:57443&ictx=111"
"Farmacia Abrahan","Blvd. Juan Domingo Perón 1896 · 03482 15-42-7072","","Abierto ahora","""Excelente atención y predisposición para con sus clientes""","","","https://www.google.com/maps/dir//Farmacia+Abrahan,+Blvd.+Juan+Domingo+Per%C3%B3n+1896,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eb1f9705cf845:0x7b3b436c8abb30b7?sa=X&ved=1t:57443&ictx=111"
"Farmacia Corti","Olessio 1502 S3560FOF · 03482 43-2669","· Cierra a las 12:30 p.m.","Abierto","""Muy gentil el farmacéutico y con muy buen humor""","","","https://www.google.com/maps/dir//Farmacia+Corti,+Olessio+1502+S3560FOF,+S3560FOF+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944ebb913073bddb:0x30dea90e35e23380?sa=X&ved=1t:57443&ictx=111"
"FARMACIA BARRIO C H A P E R O","9 de Julio 1920 · 03482 43-2336","· Cierra a las 12:15 p.m.","Abierto","""Buenas atención y muy completa""","https://cutt.ly/Lg0bxMG","Sitio web","https://www.google.com/maps/dir//FARMACIA+BARRIO+C+H+A+P+E+R+O,+9+de+Julio+1920,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944ebaa38bd8f201:0xbdac83e31b827ee9?sa=X&ved=1t:57443&ictx=111"
"Farmacia Dolzani","Reconquista, Santa Fe","","Abierto ahora","""Buen lugar, completo y atención muy cordial""","","","https://www.google.com/maps/dir//Farmacia+Dolzani,+S3560+Reconquista,+Santa+Fe/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x944eb1ed3273e8e5:0x2f0b3b197a5526dd?sa=X&ved=1t:57443&ictx=111"
